station_name|primary_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|report_type|value_significance
ELBE|DBEA|ICOADS-302-RJEUB7|ICOADS-302-RJEUB7-SST|8.2|54.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.35|2|1|0|0|2
ELBE|DBEA|ICOADS-302-RJEUB8|ICOADS-302-RJEUB8-SST|8.2|54.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.35|2|3|0|0|2
NEUWERK|DBJM|ICOADS-302-RJEUBF|ICOADS-302-RJEUBF-SST|9.0|53.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.75|2|1|0|0|2
NEUWERK|DBJM|ICOADS-302-RJEUBG|ICOADS-302-RJEUBG-SST|9.0|53.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.75|2|3|0|0|2
SEEFALKE|DBFI|ICOADS-302-RJEUBR|ICOADS-302-RJEUBR-SST|7.5|53.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUBS|ICOADS-302-RJEUBS-SST|7.5|53.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.15|0|1|0|0|2
MEERKATZE|DBFX|ICOADS-302-RJEUBT|ICOADS-302-RJEUBT-SST|7.6|53.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.35|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUBU|ICOADS-302-RJEUBU-SST|7.6|53.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.35|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUC1|ICOADS-302-RJEUC1-SST|0.4|53.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.15|0|1|0|0|2
OVERSEAS SUN COAST|V7A2557|ICOADS-302-RJEUC2|ICOADS-302-RJEUC2-SST|0.4|53.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.15|0|3|0|0|2
HEINCKE|DBCK|ICOADS-302-RJEUCJ|ICOADS-302-RJEUCJ-SST|8.6|53.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.05|2|1|0|0|2
HEINCKE|DBCK|ICOADS-302-RJEUCK|ICOADS-302-RJEUCK-SST|8.6|53.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.05|2|3|0|0|2
null|SHIP|ICOADS-302-RJEUCM|ICOADS-302-RJEUCM-SST|-130.0|53.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.85|0|3|0|0|2
EVER LUCID|BKIY|ICOADS-302-RJEUDE|ICOADS-302-RJEUDE-SST|-155.7|52.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|283.15|2|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUDF|ICOADS-302-RJEUDF-SST|-155.7|52.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|283.15|0|1|0|0|2
NYK ARGUS|HPZA|ICOADS-302-RJEUDY|ICOADS-302-RJEUDY-SST|-140.4|51.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.15|0|3|0|0|2
null|6200304|ICOADS-302-RJEUE4|ICOADS-302-RJEUE4-SST|1.8|51.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.75|0|2|0|0|2
null|6200304|ICOADS-302-RJEUE5|ICOADS-302-RJEUE5-SST|1.8|51.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.75|2|4|0|0|2
MAERSK SINGAPORE|9V5242|ICOADS-302-RJEUED|ICOADS-302-RJEUED-SST|-143.6|50.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUEE|ICOADS-302-RJEUEE-SST|-143.6|50.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.15|0|1|0|0|2
null|SHIP|ICOADS-302-RJEUEG|ICOADS-302-RJEUEG-SST|-61.2|50.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|277.05|0|3|0|0|2
null|6200107|ICOADS-302-RJEUEH|ICOADS-302-RJEUEH-SST|-6.1|50.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.25|0|2|0|0|2
null|6200107|ICOADS-302-RJEUEI|ICOADS-302-RJEUEI-SST|-6.1|50.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.25|2|4|0|0|2
VOLENDAM|PCHM|ICOADS-302-RJEUEK|ICOADS-302-RJEUEK-SST|-0.1|50.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.15|0|3|0|0|2
FRANKFURT EXPRESS|DGZS2|ICOADS-302-RJEUEL|ICOADS-302-RJEUEL-SST|-136.8|49.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.15|0|3|0|0|2
null|SHIP|ICOADS-302-RJEUEO|ICOADS-302-RJEUEO-SST|-14.6|49.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.85|0|1|0|0|2
null|SHIP|ICOADS-302-RJEUEP|ICOADS-302-RJEUEP-SST|-14.6|49.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.85|2|3|0|0|2
HORIZON ANCHORAGE|KGTX|ICOADS-302-RJEUEU|ICOADS-302-RJEUEU-SST|-127.2|49.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.25|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUEV|ICOADS-302-RJEUEV-SST|-127.2|49.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.25|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUEW|ICOADS-302-RJEUEW-SST|-0.9|49.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|289.95|0|1|0|0|2
ZAANDAM|PDAN|ICOADS-302-RJEUEX|ICOADS-302-RJEUEX-SST|-0.9|49.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|289.95|0|3|0|0|2
STAR KILIMANJARO|LAIG7|ICOADS-302-RJEUF0|ICOADS-302-RJEUF0-SST|160.6|49.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.25|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUF1|ICOADS-302-RJEUF1-SST|160.6|49.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.25|0|1|0|0|2
null|SHIP|ICOADS-302-RJEUF5|ICOADS-302-RJEUF5-SST|-67.6|48.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|277.15|0|1|0|0|2
null|SHIP|ICOADS-302-RJEUF6|ICOADS-302-RJEUF6-SST|-67.6|48.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|277.15|2|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUG8|ICOADS-302-RJEUG8-SST|-123.4|48.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.95|0|1|0|0|2
CABLE INNOVATOR|MVEP4|ICOADS-302-RJEUG9|ICOADS-302-RJEUG9-SST|-123.4|48.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.95|0|3|0|0|2
SBI MACARENA|D5LD7|ICOADS-302-RJEUGC|ICOADS-302-RJEUGC-SST|-6.9|48.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.15|2|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUGD|ICOADS-302-RJEUGD-SST|-6.9|48.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|286.15|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUGJ|ICOADS-302-RJEUGJ-SST|144.6|47.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|280.15|0|1|0|0|2
null|UBBO5|ICOADS-302-RJEUGK|ICOADS-302-RJEUGK-SST|144.6|47.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|280.15|0|3|0|0|2
null|SHIP|ICOADS-302-RJEUHC|ICOADS-302-RJEUHC-SST|-61.7|47.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.05|1|1|0|0|2
null|SHIP|ICOADS-302-RJEUHD|ICOADS-302-RJEUHD-SST|-61.7|47.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.05|2|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUHM|ICOADS-302-RJEUHM-SST|-91.7|47.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|277.75|0|1|0|0|2
MESABI MINER (AWS)|WYQ4356|ICOADS-302-RJEUHN|ICOADS-302-RJEUHN-SST|-91.7|47.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|277.75|0|3|0|0|2
null|SHIP|ICOADS-302-RJEUI6|ICOADS-302-RJEUI6-SST|-71.3|46.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.95|0|1|0|0|2
null|SHIP|ICOADS-302-RJEUI7|ICOADS-302-RJEUI7-SST|-71.3|46.8|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.95|2|3|0|0|2
HIBERNIA PLATFORM|VEP717|ICOADS-302-RJEUIF|ICOADS-302-RJEUIF-SST|-48.7|46.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|283.35|0|1|0|0|2
SEAROSE PFSO|VOXS|ICOADS-302-RJEUIG|ICOADS-302-RJEUIG-SST|-48.0|46.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|279.95|0|1|0|0|2
null|CKR759|ICOADS-302-RJEUIS|ICOADS-302-RJEUIS-SST|-48.4|46.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.45|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUIV|ICOADS-302-RJEUIV-SST|142.4|46.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.15|0|1|0|0|2
null|UBUO6|ICOADS-302-RJEUIW|ICOADS-302-RJEUIW-SST|142.4|46.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|287.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUJI|ICOADS-302-RJEUJI-SST|-83.9|46.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|280.05|1|1|0|0|2
HON. JAMES L. OBERSTAR (AWS)|WL3108|ICOADS-302-RJEUJJ|ICOADS-302-RJEUJJ-SST|-83.9|46.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|280.05|1|3|0|0|2
ONE HARBOUR|3EIQ5|ICOADS-302-RJEUJR|ICOADS-302-RJEUJR-SST|-144.3|45.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUJS|ICOADS-302-RJEUJS-SST|-144.3|45.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.15|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUKE|ICOADS-302-RJEUKE-SST|151.3|45.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.05|0|1|0|0|2
OOCL TOKYO|VRCI9|ICOADS-302-RJEUKF|ICOADS-302-RJEUKF-SST|151.3|45.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.05|0|3|0|0|2
METEOR|DBBH|ICOADS-302-RJEUKS|ICOADS-302-RJEUKS-SST|-8.5|44.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|289.55|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUKT|ICOADS-302-RJEUKT-SST|-8.5|44.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|289.55|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEULI|ICOADS-302-RJEULI-SST|35.0|44.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|292.15|0|1|0|0|2
MAERSK KIEL|VRGJ6|ICOADS-302-RJEULJ|ICOADS-302-RJEULJ-SST|35.0|44.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|292.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEULK|ICOADS-302-RJEULK-SST|-147.2|44.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|290.15|0|1|0|0|2
MAERSK EDMONTON|OYHV2|ICOADS-302-RJEULL|ICOADS-302-RJEULL-SST|-147.2|44.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|290.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEULO|ICOADS-302-RJEULO-SST|-82.8|44.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|315.75|1|1|0|0|2
PAUL R. TREGURTHA (AWS)|WYR4481|ICOADS-302-RJEULP|ICOADS-302-RJEULP-SST|-82.8|44.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|315.75|1|3|0|0|2
COLOMBO EXPRESS|DIHC|ICOADS-302-RJEUMC|ICOADS-302-RJEUMC-SST|-140.2|43.6|0.0|2020-11-01 00:00:00+00|2|11|95|5|290.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUN1|ICOADS-302-RJEUN1-SST|-3.0|43.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|293.15|1|1|0|0|2
STI OXFORD|V7DJ5|ICOADS-302-RJEUN2|ICOADS-302-RJEUN2-SST|-3.0|43.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|293.15|1|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUON|ICOADS-302-RJEUON-SST|-83.1|42.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.35|0|1|0|0|2
KAYE E. BARKER (AWS)|WCF3012|ICOADS-302-RJEUOO|ICOADS-302-RJEUOO-SST|-83.1|42.3|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.35|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUPJ|ICOADS-302-RJEUPJ-SST|-87.4|41.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.45|0|1|0|0|2
JAMES R. BARKER (AWS)|WYP8657|ICOADS-302-RJEUPK|ICOADS-302-RJEUPK-SST|-87.4|41.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.45|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUPL|ICOADS-302-RJEUPL-SST|-83.4|41.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.85|0|1|0|0|2
HERBERT C. JACKSON (AWS)|WL3972|ICOADS-302-RJEUPM|ICOADS-302-RJEUPM-SST|-83.4|41.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|281.85|0|3|0|0|2
OSAKA EXPRESS|DDVK2|ICOADS-302-RJEUQF|ICOADS-302-RJEUQF-SST|156.8|41.4|0.0|2020-11-01 00:00:00+00|2|11|95|5|290.75|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUQG|ICOADS-302-RJEUQG-SST|156.8|41.4|0.0|2020-11-01 00:00:00+00|2|11|95|5|290.75|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEUQU|ICOADS-302-RJEUQU-SST|139.5|40.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|291.85|0|1|0|0|2
OOCL LUXEMBOURG|VRGO3|ICOADS-302-RJEUQV|ICOADS-302-RJEUQV-SST|139.5|40.9|0.0|2020-11-01 00:00:00+00|2|11|95|5|291.85|0|3|0|0|2
KEIFU MARU|JPBN|ICOADS-302-RJEURI|ICOADS-302-RJEURI-SST|137.6|40.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.05|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEURJ|ICOADS-302-RJEURJ-SST|137.6|40.5|0.0|2020-11-01 00:00:00+00|2|11|95|5|288.05|0|1|0|0|2
null|MASKSTID|ICOADS-302-RJEURP|ICOADS-302-RJEURP-SST|-70.9|40.4|0.0|2020-11-01 00:00:00+00|2|11|95|5|291.95|0|1|0|0|2
NEIL ARMSTRONG (AWS)|WARL|ICOADS-302-RJEURQ|ICOADS-302-RJEURQ-SST|-70.9|40.4|0.0|2020-11-01 00:00:00+00|2|11|95|5|291.95|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEURV|ICOADS-302-RJEURV-SST|-9.8|40.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|293.15|1|1|0|0|2
MAASTRICHT MAERSK|OWSE2|ICOADS-302-RJEURW|ICOADS-302-RJEURW-SST|-9.8|40.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|293.15|1|3|0|0|2
MSC LA SPEZIA|DIGX2|ICOADS-302-RJEUS6|ICOADS-302-RJEUS6-SST|-146.0|39.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|293.15|0|3|0|0|2
MAERSK VARNA|9V8838|ICOADS-302-RJEUS7|ICOADS-302-RJEUS7-SST|-72.1|39.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|291.95|0|3|0|0|2
